Symptom_Text,Water_Color,Water_Odor,Disease
"mild fever, nausea, vomiting, bloody diarrhea",Brown,Fecal,E. coli Infection
"mild fever, vomiting, severe stomach cramps, nausea",Yellowish,Fecal,E. coli Infection
"vomiting, mild fever, bloody diarrhea, nausea",Cloudy,Sewage,E. coli Infection
"mild fever, vomiting, severe stomach cramps",Cloudy,Sewage,E. coli Infection
"nausea, bloody diarrhea",Yellowish,Sewage,E. coli Infection
"vomiting, bloody diarrhea, nausea",Brown,None,E. coli Infection
"severe stomach cramps, vomiting",Cloudy,Sewage,E. coli Infection
"nausea, vomiting, severe stomach cramps, mild fever",Yellowish,Sewage,E. coli Infection
"vomiting, mild fever, severe stomach cramps",Brown,None,E. coli Infection
"bloody diarrhea, mild fever, severe stomach cramps",Cloudy,Fecal,E. coli Infection
"severe stomach cramps, mild fever, nausea, vomiting",Yellowish,Fecal,E. coli Infection
"nausea, severe stomach cramps",Yellowish,None,E. coli Infection
"severe stomach cramps, vomiting",Cloudy,Sewage,E. coli Infection
"vomiting, nausea, severe stomach cramps, mild fever",Brown,Sewage,E. coli Infection
"nausea, severe stomach cramps, mild fever, vomiting",Cloudy,Fecal,E. coli Infection
"vomiting, bloody diarrhea, nausea, severe stomach cramps",Brown,Fecal,E. coli Infection
"severe stomach cramps, mild fever, nausea",Yellowish,None,E. coli Infection
"mild fever, vomiting, severe stomach cramps, bloody diarrhea",Brown,Sewage,E. coli Infection
"nausea, vomiting, bloody diarrhea, mild fever",Yellowish,Fecal,E. coli Infection
"nausea, vomiting, bloody diarrhea, mild fever",Cloudy,None,E. coli Infection
"bloody diarrhea, vomiting",Yellowish,Fecal,E. coli Infection
"vomiting, nausea, bloody diarrhea, mild fever",Yellowish,Sewage,E. coli Infection
"mild fever, severe stomach cramps, vomiting, nausea",Yellowish,Sewage,E. coli Infection
"nausea, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"nausea, mild fever, bloody diarrhea, vomiting",Brown,Fecal,E. coli Infection
"severe stomach cramps, vomiting, bloody diarrhea",Cloudy,Sewage,E. coli Infection
"mild fever, vomiting, bloody diarrhea, severe stomach cramps",Brown,Sewage,E. coli Infection
"bloody diarrhea, nausea",Yellowish,Sewage,E. coli Infection
"vomiting, bloody diarrhea, mild fever, nausea",Yellowish,Sewage,E. coli Infection
"nausea, severe stomach cramps, vomiting",Brown,Fecal,E. coli Infection
"bloody diarrhea, vomiting, mild fever, severe stomach cramps",Cloudy,Fecal,E. coli Infection
"bloody diarrhea, vomiting, nausea",Brown,None,E. coli Infection
"bloody diarrhea, vomiting, severe stomach cramps, mild fever",Cloudy,Sewage,E. coli Infection
"nausea, severe stomach cramps, mild fever, vomiting",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, mild fever",Brown,None,E. coli Infection
"mild fever, nausea",Cloudy,Sewage,E. coli Infection
"nausea, vomiting, bloody diarrhea",Brown,Fecal,E. coli Infection
"severe stomach cramps, vomiting, nausea, mild fever",Cloudy,None,E. coli Infection
"severe stomach cramps, mild fever, vomiting",Brown,Fecal,E. coli Infection
"vomiting, bloody diarrhea",Brown,None,E. coli Infection
"mild fever, bloody diarrhea, severe stomach cramps, vomiting",Yellowish,Fecal,E. coli Infection
"nausea, mild fever, severe stomach cramps, bloody diarrhea",Yellowish,None,E. coli Infection
"vomiting, mild fever, severe stomach cramps",Yellowish,None,E. coli Infection
"nausea, severe stomach cramps, bloody diarrhea, mild fever",Brown,None,E. coli Infection
"severe stomach cramps, bloody diarrhea",Yellowish,Fecal,E. coli Infection
"mild fever, bloody diarrhea",Brown,Fecal,E. coli Infection
"vomiting, severe stomach cramps, bloody diarrhea",Cloudy,Fecal,E. coli Infection
"vomiting, bloody diarrhea, mild fever, nausea",Cloudy,None,E. coli Infection
"mild fever, nausea, vomiting, bloody diarrhea",Brown,Fecal,E. coli Infection
"bloody diarrhea, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"severe stomach cramps, mild fever",Brown,Sewage,E. coli Infection
"mild fever, vomiting, severe stomach cramps, nausea",Brown,Sewage,E. coli Infection
"vomiting, bloody diarrhea, severe stomach cramps",Brown,Fecal,E. coli Infection
"mild fever, nausea",Brown,Fecal,E. coli Infection
"bloody diarrhea, vomiting, mild fever",Cloudy,Fecal,E. coli Infection
"nausea, severe stomach cramps, mild fever, bloody diarrhea",Cloudy,Sewage,E. coli Infection
"nausea, severe stomach cramps, bloody diarrhea",Brown,None,E. coli Infection
"vomiting, bloody diarrhea",Cloudy,None,E. coli Infection
"bloody diarrhea, severe stomach cramps, nausea, mild fever",Cloudy,None,E. coli Infection
"mild fever, vomiting",Brown,None,E. coli Infection
"severe stomach cramps, bloody diarrhea, mild fever",Brown,Sewage,E. coli Infection
"severe stomach cramps, mild fever, bloody diarrhea",Brown,None,E. coli Infection
"mild fever, severe stomach cramps",Yellowish,None,E. coli Infection
"severe stomach cramps, nausea, mild fever",Cloudy,None,E. coli Infection
"severe stomach cramps, vomiting, bloody diarrhea",Brown,Sewage,E. coli Infection
"bloody diarrhea, severe stomach cramps, mild fever, nausea",Cloudy,Sewage,E. coli Infection
"mild fever, vomiting, nausea, severe stomach cramps",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, mild fever, nausea",Cloudy,None,E. coli Infection
"mild fever, vomiting, severe stomach cramps, nausea",Yellowish,Fecal,E. coli Infection
"bloody diarrhea, nausea, vomiting",Brown,Sewage,E. coli Infection
"severe stomach cramps, vomiting, nausea",Yellowish,None,E. coli Infection
"severe stomach cramps, nausea, mild fever",Brown,Sewage,E. coli Infection
"mild fever, vomiting",Yellowish,None,E. coli Infection
"mild fever, bloody diarrhea, vomiting",Yellowish,None,E. coli Infection
"vomiting, severe stomach cramps",Cloudy,None,E. coli Infection
"mild fever, nausea",Yellowish,Sewage,E. coli Infection
"severe stomach cramps, vomiting, mild fever",Cloudy,None,E. coli Infection
"nausea, mild fever",Yellowish,Sewage,E. coli Infection
"mild fever, bloody diarrhea, nausea, vomiting",Cloudy,Sewage,E. coli Infection
"severe stomach cramps, vomiting, mild fever",Cloudy,Sewage,E. coli Infection
"nausea, severe stomach cramps",Cloudy,None,E. coli Infection
"severe stomach cramps, nausea, bloody diarrhea",Yellowish,Fecal,E. coli Infection
"mild fever, vomiting",Yellowish,Sewage,E. coli Infection
"mild fever, vomiting, bloody diarrhea, nausea",Brown,Sewage,E. coli Infection
"nausea, bloody diarrhea",Brown,Sewage,E. coli Infection
"nausea, mild fever, bloody diarrhea, severe stomach cramps",Yellowish,Fecal,E. coli Infection
"severe stomach cramps, mild fever",Cloudy,None,E. coli Infection
"vomiting, high fever, red eyes, chills",Brown,None,Leptospirosis
"headache, red eyes, high fever",Muddy,Earthy,Leptospirosis
"high fever, headache",Muddy,Stagnant,Leptospirosis
"red eyes, headache",Yellowish,Earthy,Leptospirosis
"muscle aches, chills",Brown,Earthy,Leptospirosis
"headache, abdominal pain, vomiting",Brown,Stagnant,Leptospirosis
"muscle aches, abdominal pain, red eyes",Yellowish,None,Leptospirosis
"chills, red eyes, jaundice",Yellowish,Stagnant,Leptospirosis
"red eyes, muscle aches",Brown,None,Leptospirosis
"high fever, red eyes, chills",Muddy,None,Leptospirosis
"high fever, chills, muscle aches, headache",Yellowish,Stagnant,Leptospirosis
"high fever, chills, abdominal pain, red eyes",Brown,Stagnant,Leptospirosis
"headache, red eyes",Yellowish,None,Leptospirosis
"red eyes, chills, abdominal pain",Brown,None,Leptospirosis
"abdominal pain, vomiting, jaundice, chills",Muddy,Stagnant,Leptospirosis
"jaundice, muscle aches",Yellowish,None,Leptospirosis
"muscle aches, jaundice",Brown,None,Leptospirosis
"jaundice, headache",Yellowish,Earthy,Leptospirosis
"jaundice, vomiting, headache, red eyes",Muddy,Stagnant,Leptospirosis
"high fever, muscle aches",Muddy,None,Leptospirosis
"abdominal pain, vomiting, chills, high fever",Yellowish,None,Leptospirosis
"high fever, headache, red eyes",Yellowish,None,Leptospirosis
"headache, chills, vomiting, high fever",Yellowish,Stagnant,Leptospirosis
"jaundice, vomiting, muscle aches, abdominal pain",Brown,None,Leptospirosis
"jaundice, vomiting",Brown,Stagnant,Leptospirosis
"chills, abdominal pain, muscle aches, high fever",Brown,Stagnant,Leptospirosis
"red eyes, high fever, headache",Muddy,Stagnant,Leptospirosis
"vomiting, abdominal pain, muscle aches, headache",Muddy,None,Leptospirosis
"high fever, red eyes, chills",Brown,None,Leptospirosis
"abdominal pain, chills",Yellowish,Stagnant,Leptospirosis
"chills, high fever, headache, muscle aches",Brown,Earthy,Leptospirosis
"high fever, abdominal pain, jaundice",Brown,None,Leptospirosis
"high fever, chills, jaundice, headache",Muddy,Earthy,Leptospirosis
"jaundice, abdominal pain, chills",Brown,Earthy,Leptospirosis
"muscle aches, vomiting",Muddy,Stagnant,Leptospirosis
"jaundice, headache, chills",Yellowish,Earthy,Leptospirosis
"chills, red eyes",Brown,None,Leptospirosis
"vomiting, abdominal pain, jaundice, chills",Yellowish,None,Leptospirosis
"chills, high fever",Muddy,Stagnant,Leptospirosis
"headache, chills, muscle aches",Yellowish,Stagnant,Leptospirosis
"muscle aches, abdominal pain, headache",Yellowish,Stagnant,Leptospirosis
"chills, muscle aches, high fever, abdominal pain",Muddy,None,Leptospirosis
"chills, jaundice, vomiting",Brown,Earthy,Leptospirosis
"chills, jaundice",Muddy,None,Leptospirosis
"muscle aches, vomiting, high fever",Brown,Earthy,Leptospirosis
"red eyes, chills",Yellowish,None,Leptospirosis
"jaundice, red eyes",Yellowish,Earthy,Leptospirosis
"chills, headache",Muddy,None,Leptospirosis
"abdominal pain, headache, vomiting, high fever",Yellowish,Earthy,Leptospirosis
"jaundice, abdominal pain",Muddy,Stagnant,Leptospirosis
"high fever, chills, red eyes, abdominal pain",Muddy,None,Leptospirosis
"red eyes, chills, headache",Yellowish,Stagnant,Leptospirosis
"high fever, jaundice",Brown,Earthy,Leptospirosis
"jaundice, vomiting",Brown,Earthy,Leptospirosis
"vomiting, red eyes",Brown,Earthy,Leptospirosis
"red eyes, chills, abdominal pain",Yellowish,Stagnant,Leptospirosis
"high fever, jaundice, abdominal pain",Yellowish,None,Leptospirosis
"abdominal pain, red eyes",Muddy,Stagnant,Leptospirosis
"vomiting, abdominal pain",Yellowish,None,Leptospirosis
"red eyes, vomiting, headache, jaundice",Muddy,Earthy,Leptospirosis
"jaundice, headache, chills, red eyes",Yellowish,Stagnant,Leptospirosis
"headache, high fever, red eyes, muscle aches",Yellowish,None,Leptospirosis
"abdominal pain, headache, vomiting",Brown,None,Leptospirosis
"high fever, jaundice, chills, red eyes",Yellowish,Earthy,Leptospirosis
"chills, muscle aches, high fever",Muddy,Earthy,Leptospirosis
"chills, headache, high fever, jaundice",Yellowish,Stagnant,Leptospirosis
"muscle aches, high fever, red eyes, jaundice",Muddy,Stagnant,Leptospirosis
"high fever, jaundice, red eyes",Yellowish,None,Leptospirosis
"muscle aches, abdominal pain, vomiting",Brown,Stagnant,Leptospirosis
"abdominal pain, jaundice, muscle aches",Yellowish,Stagnant,Leptospirosis
"chills, muscle aches, high fever",Brown,None,Leptospirosis
"red eyes, chills",Muddy,None,Leptospirosis
"vomiting, jaundice, abdominal pain",Yellowish,Earthy,Leptospirosis
"abdominal pain, vomiting, high fever",Yellowish,None,Leptospirosis
"headache, chills, vomiting",Muddy,Stagnant,Leptospirosis
"red eyes, high fever, abdominal pain, vomiting",Muddy,Earthy,Leptospirosis
"vomiting, red eyes, high fever, chills",Brown,Stagnant,Leptospirosis
"abdominal pain, vomiting, headache",Yellowish,Earthy,Leptospirosis
"chills, headache",Yellowish,Stagnant,Leptospirosis
"muscle aches, jaundice, red eyes",Muddy,Earthy,Leptospirosis
"jaundice, red eyes, muscle aches",Muddy,Earthy,Leptospirosis
"muscle aches, headache",Muddy,Stagnant,Leptospirosis
"vomiting, jaundice, red eyes",Brown,None,Leptospirosis
"red eyes, high fever, headache, muscle aches",Yellowish,Stagnant,Leptospirosis
"vomiting, jaundice, abdominal pain",Brown,None,Leptospirosis
"red eyes, vomiting, high fever",Yellowish,Stagnant,Leptospirosis
"vomiting, muscle aches, jaundice, chills",Brown,Stagnant,Leptospirosis
"vomiting, chills",Yellowish,Earthy,Leptospirosis
"jaundice, red eyes, muscle aches, headache",Brown,Stagnant,Leptospirosis
"jaundice, chills, headache, muscle aches",Muddy,Earthy,Leptospirosis
"headache, red eyes, jaundice",Muddy,None,Leptospirosis
"red eyes, jaundice",Muddy,Earthy,Leptospirosis
"vomiting, abdominal pain",Brown,Stagnant,Leptospirosis
"red eyes, jaundice, headache",Muddy,None,Leptospirosis
"headache, chills",Yellowish,Stagnant,Leptospirosis
"abdominal pain, chills",Muddy,Earthy,Leptospirosis
"muscle aches, high fever",Brown,Earthy,Leptospirosis
"muscle aches, high fever",Muddy,None,Leptospirosis
"muscle aches, jaundice",Brown,Stagnant,Leptospirosis
"jaundice, vomiting, abdominal pain, chills",Yellowish,None,Leptospirosis
"red eyes, headache",Brown,Earthy,Leptospirosis
"headache, muscle aches, abdominal pain, vomiting",Yellowish,None,Leptospirosis
"jaundice, muscle aches, headache",Yellowish,None,Leptospirosis
"vomiting, chills",Muddy,Stagnant,Leptospirosis
"headache, abdominal pain, vomiting",Muddy,None,Leptospirosis
"vomiting, high fever, jaundice",Muddy,None,Leptospirosis
"jaundice, muscle aches, headache, high fever",Muddy,None,Leptospirosis
"vomiting, red eyes, chills, headache",Brown,None,Leptospirosis
"vomiting, high fever, jaundice, abdominal pain",Brown,Stagnant,Leptospirosis
"high fever, vomiting",Yellowish,Stagnant,Leptospirosis
"jaundice, muscle aches",Muddy,None,Leptospirosis
"high fever, muscle aches, headache",Brown,None,Leptospirosis
"jaundice, high fever, muscle aches, red eyes",Yellowish,None,Leptospirosis
"vomiting, red eyes, muscle aches, jaundice",Muddy,None,Leptospirosis
"headache, muscle aches, jaundice, abdominal pain",Muddy,Earthy,Leptospirosis
"vomiting, high fever, chills, muscle aches",Brown,None,Leptospirosis
"headache, abdominal pain, high fever",Yellowish,None,Leptospirosis
"red eyes, muscle aches, chills",Yellowish,Earthy,Leptospirosis
"jaundice, high fever, chills",Brown,Stagnant,Leptospirosis
"red eyes, abdominal pain, chills, high fever",Muddy,None,Leptospirosis
"high fever, chills, red eyes",Yellowish,None,Leptospirosis
"red eyes, vomiting",Muddy,Stagnant,Leptospirosis
"abdominal pain, high fever, headache, muscle aches",Muddy,Stagnant,Leptospirosis
"chills, red eyes, abdominal pain, high fever",Muddy,None,Leptospirosis
"high fever, vomiting",Yellowish,Stagnant,Leptospirosis
"vomiting, abdominal pain, chills, red eyes",Muddy,Stagnant,Leptospirosis
"high fever, abdominal pain, muscle aches, red eyes",Yellowish,Earthy,Leptospirosis
"headache, chills, vomiting, abdominal pain",Muddy,None,Leptospirosis
"red eyes, high fever",Yellowish,None,Leptospirosis
"muscle aches, high fever, chills",Brown,Earthy,Leptospirosis
"headache, chills",Brown,Earthy,Leptospirosis
"muscle aches, abdominal pain, headache",Brown,None,Leptospirosis
"chills, jaundice",Yellowish,Earthy,Leptospirosis
"abdominal pain, chills, headache",Yellowish,Earthy,Leptospirosis
"vomiting, abdominal pain, muscle aches, chills",Yellowish,Stagnant,Leptospirosis
"jaundice, abdominal pain",Brown,Stagnant,Leptospirosis
"high fever, vomiting, muscle aches, headache",Yellowish,Earthy,Leptospirosis
"jaundice, red eyes",Muddy,Stagnant,Leptospirosis
"abdominal pain, jaundice, headache, high fever",Brown,None,Leptospirosis
"abdominal pain, muscle aches, headache",Yellowish,Stagnant,Leptospirosis
"abdominal pain, chills",Yellowish,Stagnant,Leptospirosis
"vomiting, red eyes",Yellowish,Earthy,Leptospirosis
"high fever, vomiting",Yellowish,None,Leptospirosis
"muscle aches, red eyes, high fever",Yellowish,Stagnant,Leptospirosis
"high fever, muscle aches",Yellowish,None,Leptospirosis
"high fever, muscle aches, headache, vomiting",Yellowish,Stagnant,Leptospirosis
"chills, vomiting",Brown,None,Leptospirosis
"high fever, vomiting, muscle aches, red eyes",Muddy,Earthy,Leptospirosis
"muscle aches, high fever",Brown,Stagnant,Leptospirosis
"red eyes, chills, vomiting",Brown,Stagnant,Leptospirosis
"abdominal pain, chills",Yellowish,None,Leptospirosis
"chills, jaundice, high fever, red eyes",Yellowish,Stagnant,Leptospirosis
"jaundice, abdominal pain, red eyes, muscle aches",Brown,Stagnant,Leptospirosis
"chills, muscle aches, jaundice",Muddy,Earthy,Leptospirosis
"vomiting, abdominal pain, high fever, jaundice",Brown,Earthy,Leptospirosis
"vomiting, red eyes, headache",Yellowish,Stagnant,Leptospirosis
"muscle aches, vomiting",Brown,Stagnant,Leptospirosis
"jaundice, vomiting",Muddy,None,Leptospirosis
"muscle aches, headache, vomiting",Muddy,None,Leptospirosis
"chills, red eyes, headache",Yellowish,Earthy,Leptospirosis
"muscle aches, high fever, abdominal pain, jaundice",Brown,None,Leptospirosis
"vomiting, high fever, muscle aches, red eyes",Yellowish,Earthy,Leptospirosis
"jaundice, headache, high fever",Brown,None,Leptospirosis
"red eyes, jaundice",Yellowish,Stagnant,Leptospirosis
"muscle aches, abdominal pain, headache",Brown,Earthy,Leptospirosis
"red eyes, jaundice",Yellowish,Stagnant,Leptospirosis
"muscle aches, jaundice, chills, red eyes",Yellowish,None,Leptospirosis
"muscle aches, red eyes",Yellowish,Earthy,Leptospirosis
"abdominal pain, muscle aches, jaundice, red eyes",Brown,Earthy,Leptospirosis
